Player,Country,Team,Goals,Season
Robin van Persie,Netherlands,Manchester United,26,2012-2013
Luis Suárez,Uruguay,Liverpool FC,23,2012-2013
Gareth Bale,Wales,Tottenham Hotspur,21,2012-2013
Christian Benteke,Belgium,Aston Villa,19,2012-2013
Michu,Spain,Swansea City,18,2012-2013
Romelu Lukaku,Belgium,West Bromwich Albion,17,2012-2013
Demba Ba,Senegal,Newcastle United,15,2012-2013
Dimitar Berbatov,Bulgaria,Manchester United,15,2012-2013
Rickie Lambert,England,Southampton FC,15,2012-2013
Frank Lampard,England,Chelsea FC,15,2012-2013
Edin Džeko,Bosnia-Herzegovina,Manchester City,14,2012-2013
Theo Walcott,England,Arsenal FC,14,2012-2013
Sergio Agüero,Argentina,Manchester City,12,2012-2013
Adam Le Fondre,England,Reading FC,12,2012-2013
Wayne Rooney,England,Manchester United,12,2012-2013
Santi Cazorla,Spain,Arsenal FC,12,2012-2013
Jermain Defoe,England,Tottenham Hotspur,11,2012-2013
Marouane Fellaini,Belgium,Everton FC,11,2012-2013
Steven Fletcher,Scotland,Sunderland AFC,11,2012-2013
Olivier Giroud,France,Arsenal FC,11,2012-2013
Juan Mata,Spain,Chelsea FC,11,2012-2013
Arouna Koné,Ivory Coast,Wigan Athletic,11,2012-2013
Lukas Podolski,Germany,Arsenal FC,11,2012-2013
Daniel Sturridge,England,Liverpool FC,11,2012-2013
Carlos Tévez,Argentina,Manchester City,11,2012-2013
Javier Hernández,Mexico,Manchester United,10,2012-2013
Kevin Nolan,England,West Ham United,10,2012-2013
Gabriel Agbonlahor,England,Aston Villa,9,2012-2013
Steven Gerrard,England,Liverpool FC,9,2012-2013
Eden Hazard,Belgium,Chelsea FC,9,2012-2013
Papiss Demba Cissé,Senegal,Newcastle United,8,2012-2013
Fernando Torres,Spain,Chelsea FC,8,2012-2013
Grant Holt,England,Norwich City,8,2012-2013
Shane Long,Ireland,West Bromwich Albion,8,2012-2013
Jon Walters,Ireland,Stoke City,8,2012-2013
Andy Carroll,England,West Ham United,7,2012-2013
Peter Crouch,England,Stoke City,7,2012-2013
Clint Dempsey,USA,Tottenham Hotspur,7,2012-2013
Nikica Jelavić,Croatia,Everton FC,7,2012-2013
Hal Robson-Kanu,Wales,Reading FC,7,2012-2013
Stéphane Sessègnon,Benin,Sunderland AFC,7,2012-2013
Andreas Weimann,Austria,Aston Villa,7,2012-2013
Victor Anichebe,Nigeria,Everton FC,6,2012-2013
Yohan Cabaye,France,Newcastle United,6,2012-2013
Craig Gardner,England,Sunderland AFC,6,2012-2013
Shinji Kagawa,Japan,Manchester United,6,2012-2013
Shaun Maloney,Scotland,Wigan Athletic,6,2012-2013
Mikel Arteta,Spain,Arsenal FC,6,2012-2013
Kevin Mirallas,Belgium,Everton FC,6,2012-2013
Steven Pienaar,South Africa,Everton FC,6,2012-2013
Loïc Rémy,France,Queens Park Rangers,6,2012-2013
Jay Rodriguez,England,Southampton FC,6,2012-2013
Robert Snodgrass,Scotland,Norwich City,6,2012-2013
Yaya Touré,Ivory Coast,Manchester City,6,2012-2013
Emmanuel Adebayor,Togo,Tottenham Hotspur,5,2012-2013
Leighton Baines,England,Everton FC,5,2012-2013
Jonathan de Guzmán,Netherlands,Swansea City,5,2012-2013
Franco Di Santo,Argentina,Wigan Athletic,5,2012-2013
Gervinho,Ivory Coast,Arsenal FC,5,2012-2013
Jordan Henderson,England,Liverpool FC,5,2012-2013
Branislav Ivanović,Serbia,Chelsea FC,5,2012-2013
Adam Johnson,England,Sunderland AFC,5,2012-2013
Jimmy Kébé,France,Reading FC,5,2012-2013
James Morrison,Scotland,West Bromwich Albion,5,2012-2013
Peter Odemwingie,Nigeria,West Bromwich Albion,5,2012-2013
Leon Osman,England,Everton FC,5,2012-2013
Mladen Petrić,Croatia,Fulham FC,5,2012-2013
Anthony Pilkington,Ireland,Norwich City,5,2012-2013
Pavel Pogrebnyak,Russia,Reading FC,5,2012-2013
Jason Puncheon,England,Southampton FC,5,2012-2013
Ramires,Brazil,Chelsea FC,5,2012-2013
Gastón Ramírez,Uruguay,Southampton FC,5,2012-2013
Wayne Routledge,England,Swansea City,5,2012-2013
Morgan Schneiderlin,France,Southampton FC,5,2012-2013
Adel Taarabt,Morocco,Queens Park Rangers,5,2012-2013
Jan Vertonghen,Belgium,Tottenham Hotspur,5,2012-2013
Hatem Ben Arfa,France,Newcastle United,4,2012-2013
Emmerson Boyce,Barbados,Wigan Athletic,4,2012-2013
